id,visible_area,match_id,teammate,actor,keeper,location
1267faf9-e033-4985-925a-2f9521d63bc0,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,True,True,False,"[48.5, 41.29999923706055]"
1267faf9-e033-4985-925a-2f9521d63bc0,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,True,False,False,"[54.82067024234817, 25.707875461214172]"
1267faf9-e033-4985-925a-2f9521d63bc0,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,False,False,False,"[56.72188906584037, 49.211501304791874]"
1267faf9-e033-4985-925a-2f9521d63bc0,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,False,False,False,"[57.65015717330118, 32.54557490854377]"
1267faf9-e033-4985-925a-2f9521d63bc0,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,True,False,False,"[58.76970731883244, 54.84647396059409]"
1267faf9-e033-4985-925a-2f9521d63bc0,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,True,False,False,"[59.49186645134706, 12.58427322227282]"
1267faf9-e033-4985-925a-2f9521d63bc0,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,False,False,False,"[59.52414636893489, 15.761169812091175]"
1267faf9-e033-4985-925a-2f9521d63bc0,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,True,False,False,"[61.02824794392712, 40.3965309411283]"
1267faf9-e033-4985-925a-2f9521d63bc0,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,False,False,False,"[61.18975186144653, 61.11212306570756]"
1267faf9-e033-4985-925a-2f9521d63bc0,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,True,False,False,"[62.92021698114404, 78.63201612894198]"
1267faf9-e033-4985-925a-2f9521d63bc0,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,False,False,False,"[65.73722058482998, 35.82337965653156]"
1267faf9-e033-4985-925a-2f9521d63bc0,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,False,False,False,"[66.48635170701839, 47.54727734980843]"
1267faf9-e033-4985-925a-2f9521d63bc0,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,False,False,False,"[70.00837554936389, 20.583483941052492]"
1267faf9-e033-4985-925a-2f9521d63bc0,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,False,False,False,"[76.0849736610872, 64.6739127010627]"
1267faf9-e033-4985-925a-2f9521d63bc0,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,False,False,False,"[76.33161228044052, 36.38264992396942]"
